#random sampling: 63938380
Gene	DH_DT1_3	DH_DT1_1	DH_CT7_3	DH_CT7_1	DH_CT1_2	DH_DT7_2	DH_DT7_1	DH_DT7_3	DH_CT1_3	DH_CT1_1	DH_CT7_2	DH_DT1_2
acdA	80302	78394	82266	84311	29392	93810	92206	95229	80866	63202	82415	79245
acdB	15879	15882	15425	16348	5943	16044	15220	15827	15724	12544	15704	16388
ackA	4885	5702	5526	5712	2327	4727	4924	4675	6625	6295	5605	5742
acs	34322	35376	34951	36557	12681	37516	37604	37427	38614	26448	36057	35944
acsC	0	2	1	0	0	8	3	1	1	1	0	0
acsD	318	309	267	288	101	386	383	302	341	321	275	352
amoA	5	1	3	4	3	8	7	5	5	3	1	1
amoB	189	53	54	101	22	162	220	211	79	40	103	60
amoC	131	14	25	26	10	45	92	99	59	12	22	25
apgM	628	525	728	874	436	584	574	585	1165	1096	881	573
cdhA	1	1	0	0	0	0	0	0	3	0	0	0
cdhB	0	0	0	0	0	0	0	0	0	2	1	0
cdhC	5	1	0	0	8	1	1	2	0	0	1	0
cdhD	0	0	0	0	0	0	0	1	0	0	1	0
cdhE	0	0	0	0	2	0	0	0	0	0	0	0
cooF	2035	2159	1985	1753	622	2566	2404	2388	2025	870	1696	2137
cooS	17	0	5	8	7	5	18	10	4	2	0	1
cytC	0	0	0	0	0	0	0	0	0	0	0	0
dcmA	236	214	284	282	47	261	275	240	254	126	226	248
dcmR	0	0	0	0	0	0	1	0	0	2	0	0
dfrA1	31	20	5	28	10	19	28	26	17	7	21	19
dfrA12	3	20	32	12	0	6	5	10	1	15	21	1
echA	8	13	16	26	8	9	9	7	40	22	19	8
echB	18	15	21	12	6	7	7	7	35	31	27	3
echC	0	0	0	0	2	0	0	0	1	1	0	1
echE	64	64	86	90	34	42	64	61	89	69	101	74
echF	0	0	0	2	0	0	0	0	0	0	0	0
ehaN	0	0	0	0	0	0	0	0	0	0	1	0
ehaO	2	5	7	6	4	3	3	4	2	7	2	4
ehaP	2	1	0	1	0	1	0	0	0	0	0	1
ehaQ	2	7	4	2	4	5	1	1	1	1	5	2
ehbA	10	23	24	19	2	7	5	4	19	11	21	18
ehbB	0	0	3	0	0	0	0	0	3	0	0	0
ehbC	6	13	2	6	2	3	3	5	5	4	4	9
ehbD	0	0	0	0	0	0	0	1	0	0	1	0
ehbE	47	95	83	121	23	43	48	43	90	61	97	83
ehbF	6	2	4	2	0	2	4	4	7	1	3	4
ehbH	94	104	74	97	43	63	90	55	115	66	101	158
ehbI	31	25	1	6	4	20	15	28	16	12	9	14
ehbK	0	3	1	0	0	2	0	0	0	0	0	3
ehbL	3	0	0	1	1	0	0	1	0	1	0	0
ehbM	0	0	0	0	0	0	0	0	0	2	1	0
ehbN	2	1	4	2	1	0	0	0	0	0	5	0
ehbO	0	0	0	0	1	0	0	0	0	0	0	0
ehbQ	76	114	65	103	35	90	145	115	55	104	114	117
eno	13227	11708	12427	11924	4675	13062	13388	13497	13001	11455	11880	11904
