Gene	DH_CT1_1	DH_CT1_2	DH_CT1_3	DH_CT7_1	DH_CT7_2	DH_CT7_3	DH_DT1_1	DH_DT1_2	DH_DT1_3	DH_DT7_1	DH_DT7_2	DH_DT7_3
ansB	2791	2676	1784	2579	2578	1713	1557	1790	3238	4254	1704	4138
asnB	2709	1797	4071	4002	3818	2354	3041	2996	7825	9580	6244	9956
gdh_K00261	13632	11101	13471	24781	25462	26098	14436	13914	32853	27317	26838	26243
gdh_K00262	492	109	183	331	309	300	264	249	50	22	67	12
gdh_K15371	2657	2508	2033	4658	4464	2165	4157	4257	2712	3443	1685	3401
glnA	46114	55610	53444	57056	57104	49937	54802	54827	48824	67081	62324	66594
glsA	10293	9240	9196	15972	15825	15561	14718	14822	10136	17984	21577	18436
gs_K00265	31600	22457	19349	47083	47494	34399	22217	22771	25129	27570	37295	27606
gs_K00266	7292	10227	11674	14305	13957	13921	19608	19930	21288	17181	24313	17268
gs_K00284	2152	3110	3072	6414	6498	7099	1313	1369	4389	2975	3120	2779
hcp	135	46	320	313	294	148	19	33	2	113	89	59
napA	124	0	0	50	68	78	46	61	0	0	0	0
napB	58	0	0	29	43	41	17	21	0	0	0	0
napC	116	0	0	86	83	60	48	71	0	0	0	0
narB	4709	7906	4985	9266	8996	8123	5457	5434	5953	5878	6051	5940
narH	449	277	328	159	191	173	351	316	107	137	61	117
narI	73	0	0	18	27	53	23	25	0	0	0	0
narZ	540	0	1	324	329	375	282	272	0	0	0	0
nasA	1694	1236	1735	2380	2432	2905	1530	1582	1229	1484	1294	1449
nifD	1151	2419	2150	2632	2881	1491	2023	1692	226	242	284	259
nifH	44626	49523	41297	31639	30900	66767	56234	56204	29565	32629	43874	32649
nifK	1057	1313	1234	1564	1683	1104	1291	1156	124	172	162	163
nifW	146	18	95	79	54	97	79	61	1	30	2	26
nirA	3034	3020	4957	4285	4286	8204	3105	3126	4337	2488	9281	2663
nirB	4454	3112	3792	6278	6238	5208	4463	4633	7654	7049	4443	7463
nirD	1122	685	515	2418	2487	1743	1580	1540	256	693	79	693
nirK	150	6	11	117	147	108	132	99	0	1	0	0
nirS	146	297	128	313	265	250	86	101	27	16	50	24
nmo	67595	95005	93711	62137	60144	66673	93517	95064	65275	104953	107774	106010
norB	339	0	0	250	204	252	198	201	0	0	0	0
norC	203	0	0	158	104	160	127	139	0	0	0	0
nosZ	240	0	0	193	205	219	175	216	0	0	0	0
NR	10	0	0	0	6	18	136	146	0	0	2	0
nrfC	228	251	347	523	498	760	367	385	239	282	69	321
ureA	76960	54900	291009	97293	97220	259588	257511	254311	154142	75782	39361	74700
ureB	27607	37238	41635	12208	12082	8991	38930	39514	14365	18473	13304	18589
ureC	105774	92750	331469	109829	109276	269091	301631	300235	169227	86050	51783	85941
