Gene	DH_CT1_1	DH_CT1_2	DH_CT1_3	DH_CT7_1	DH_CT7_2	DH_CT7_3	DH_DT1_1	DH_DT1_2	DH_DT1_3	DH_DT7_1	DH_DT7_2	DH_DT7_3
adk	84312	90298	155772	155953	153491	189461	151964	148359	139581	119345	86020	119855
cmk	19260	39973	17229	75862	75138	17615	15814	15634	16626	10752	16757	10818
dcd	66404	138934	131391	175944	172958	96864	109309	108284	81134	92918	74135	89991
deoB	6724	18760	9794	2070	2156	1248	3027	2962	1299	1885	2159	1900
dut	35225	58128	31770	100123	97257	39029	30355	30973	45840	65720	53526	66341
gcd	18625	21472	30423	5162	4834	4395	29553	30695	7288	6701	3570	6857
gdh	7884	7536	7348	7292	7193	5027	10095	10412	9190	7645	5978	7949
glpQ	1845	2438	2548	1903	1761	1861	4325	4242	2649	1012	2627	1065
gmk	55545	88480	63617	108184	108087	45520	54902	55647	45295	60070	60547	59987
gnd	135580	197323	150144	216749	214018	264600	191712	185291	106298	105228	170345	103270
gnl	11461	18958	15073	16684	16257	16533	17242	17332	14070	19928	13034	19391
gntK	5981	8382	9114	19427	19199	33733	24953	23846	7443	50019	71502	48933
guaA	238159	244231	230119	242290	240674	462225	346545	337718	230567	213536	308414	206036
guaB	218390	214531	139097	215711	216057	376812	249802	246222	165561	116756	169474	117110
htxB	2	7	11	2	1	0	16	21	0	24	4	34
lysR	552	400	410	3086	3002	153	1502	1413	420	1484	27	1363
ndk	203731	196596	129086	184118	184222	374102	246100	241859	156470	105123	174655	104184
nrdA	27223	57413	33442	97506	97838	25129	11225	11447	24963	8190	13205	8189
nrdB	55223	77592	137596	132169	131799	122471	106681	106705	82546	60117	67329	57662
nrdD	42	0	0	16	34	20	27	34	0	0	0	0
nrdF	55	7	14	63	67	78	57	50	3	12	15	15
nrdJ	68450	56760	41908	61695	62081	103454	65353	62746	75297	83529	68312	84774
opd	3772	271	988	258	263	87	291	273	403	305	209	311
pbfA	1141	820	614	1113	966	640	947	1010	983	1121	741	1179
pckA	54306	74978	47772	105852	104700	99290	60464	59728	38521	20376	45386	19991
pckG	30022	19404	98139	41424	40230	102334	87698	86759	75591	60692	41640	60040
pepM	1228	2840	1989	516	545	575	2244	2233	2011	1063	1865	1035
phnA	1233	3457	3409	4526	4377	2596	1629	1703	1010	824	810	1003
phnC	17025	13637	16363	16487	16111	15322	11769	12365	38303	53490	39461	54072
phnD	303	230	376	507	526	1121	490	551	539	155	144	152
phnD_phosphite	4015	3254	3933	4586	4558	4121	3820	4408	8821	8026	5758	8608
phnE	14243	12952	17243	25134	24214	13549	12983	14420	46386	37765	23135	40007
phnF	266	664	101	779	742	777	543	582	40	562	634	645
phnG	2466	3190	2359	5008	4817	1992	2353	2480	4461	3692	1879	3993
phnH	1992	1040	1212	4146	4025	1221	1780	1837	1530	2247	754	2504
phnI	8533	8935	9881	12708	12219	6454	7663	7752	15125	13137	8189	13852
phnJ	6962	9196	9495	12109	11666	4896	6627	6586	12765	11623	7640	12241
phnK	7398	8239	8971	11447	11078	4857	6886	6972	13239	12281	7627	12971
phnL	3682	5575	6156	10326	9948	3818	4508	4575	8189	9021	5447	9761
phnM	7849	9438	12845	20532	20174	8053	8304	8518	17651	14429	9148	15038
phnN	5101	1985	2460	6978	6854	2418	3748	3840	4187	5482	1026	5826
phnP	98	48	63	94	108	25	41	41	131	119	60	114
phnPP	652	0	0	331	353	398	313	378	0	0	0	0
phnS	1419	156	231	404	325	485	1500	1420	339	985	925	997
phnT	15	23	13	151	117	4	92	77	13	71	14	67
phnU	656	115	93	663	663	170	798	886	205	605	395	671
phnW	3652	4648	3681	6311	5921	1550	5845	5948	4107	3918	3100	4177
phnX	4490	1183	1915	2645	2663	3262	4717	4718	2310	3029	2825	3277
phny	1165	3142	3304	3908	3797	2173	1250	1317	796	681	758	768
phoA	455	185	145	489	480	714	339	245	56	191	192	172
phoB	383634	419802	374919	534880	530490	674702	506075	496788	337726	381445	405004	382917
phoD	3722	6571	6417	6162	6167	9085	14319	14469	11455	10455	19264	10761
phoH	52200	90278	58722	114499	113531	59509	50002	50600	63310	77492	57538	77063
phoP	393428	343903	205824	393883	393724	672541	433369	422971	294732	155251	296301	155218
phoR	12831	32154	16217	61008	59323	12752	10002	10042	9700	6082	4713	6404
phoU	22888	53930	26628	71969	70191	25723	21559	21441	23156	37302	29129	38004
