#random sampling: 63938380
Gene	DH_DT7_1	DH_CT1_3	DH_CT7_2	DH_DT1_2	DH_DT7_3	DH_CT1_1	DH_DT1_1	DH_CT7_3	DH_CT1_2	DH_DT7_2	DH_DT1_3	DH_CT7_1
acuI	16630	20501	18873	16556	14140	19585	16860	18827	19733	13976	14838	19440
acuK	114	130	167	140	117	146	107	137	186	119	72	185
acuN	782	939	922	681	642	880	644	900	858	618	688	925
aprA	3588	5338	5613	3913	2914	4561	4058	5420	5181	3136	3607	5611
aprB	35	53	67	32	21	70	48	46	77	40	44	63
asrA	640	1410	1328	420	668	1426	619	1400	1365	677	384	1353
asrB	171	207	200	132	165	260	151	268	287	146	150	261
asrC	777	1439	1426	579	1073	1662	709	1550	1372	663	488	1429
betA	30051	33502	31991	29684	26187	32848	30547	33496	34040	27381	27559	32900
betB	65735	64084	63701	61874	61208	64504	62150	64949	65790	59459	59125	64862
betC	8030	10574	11081	7927	6022	11529	8290	11214	11853	6645	7669	11023
comA	1174	379	593	373	1004	361	376	539	498	642	835	528
comB	3606	5103	5313	2959	2992	4651	3222	4900	5033	2774	3213	5438
comC	805	1369	1113	929	777	1297	968	1181	1225	723	806	1255
comD	703	1368	1089	908	598	1128	918	1171	1341	582	664	1113
comE	1679	2107	1979	1546	1445	2171	1521	2224	2331	1211	1465	2011
cuyA	3193	3733	3506	2672	2706	3453	2749	3612	3688	2318	2817	3598
cuyZ	1	3	4	6	2	6	5	9	8	2	1	7
cysA	23019	30020	28628	18195	21267	27638	19898	29336	27818	19083	18751	29768
cysC	43867	51510	49306	40030	35165	46410	41120	48780	49375	34483	39629	50331
cysD	12718	14681	13997	11921	10944	13805	12123	14980	13967	11007	12008	14120
cysE	21094	25188	24004	19021	17388	23222	19568	23825	24460	17618	19155	24518
cysH	6991	8484	8283	5941	6243	7955	6411	8394	7801	6253	6019	8212
cysI	7123	9885	8637	6054	6081	8980	6705	9335	9394	5735	6362	8633
cysJ	22300	32575	28656	19974	20761	26628	21675	28827	27772	20539	18327	28815
cysK	45860	52880	49410	39837	39065	49436	41193	51645	50751	37470	39504	50075
cysM	11925	12439	12828	10016	9916	12319	10530	12611	13481	9159	11027	13235
cysN	12593	13562	12861	10848	10278	12619	11179	13364	12968	10334	11755	13173
