SampleID	Group	Type	Treatment	Treatment_fine	TP	Type_fine
DH_CT1_B_1	CT1	Mat	CT	CT	TP1	Mat
DH_CT1_B_2	CT1	Mat	CT	CT	TP1	Mat
DH_CT1_B_3	CT1	Mat	CT	CT	TP1	Mat
DH_CT2_B_1	CT2	Mat	CT	CT	TP2	Mat
DH_CT2_B_2	CT2	Mat	CT	CT	TP2	Mat
DH_CT2_B_3	CT2	Mat	CT	CT	TP2	Mat
DH_CT3_B_1	CT3	Mat	CT	CT	TP3	Mat
DH_CT3_B_2	CT3	Mat	CT	CT	TP3	Mat
DH_CT3_B_3	CT3	Mat	CT	CT	TP3	Mat
DH_CT4_B_1	CT4	Mat	CT	CT	TP4	Mat
DH_CT4_B_2	CT4	Mat	CT	CT	TP4	Mat
DH_CT4_B_3	CT4	Mat	CT	CT	TP4	Mat
DH_CT5_B_1	CT5	Mat	CT	CT	TP5	Mat
DH_CT5_B_2	CT5	Mat	CT	CT	TP5	Mat
DH_CT5_B_3	CT5	Mat	CT	CT	TP5	Mat
DH_CT6_B_1	CT6	Mat	CT	CT	TP6	Mat
DH_CT6_B_2	CT6	Mat	CT	CT	TP6	Mat
DH_CT6_B_3	CT6	Mat	CT	CT	TP6	Mat
DH_CT7_B_1	CT7	Mat	CT	CT	TP7	Mat
DH_CT7_B_2	CT7	Mat	CT	CT	TP7	Mat
DH_CT7_B_3	CT7	Mat	CT	CT	TP7	Mat
DH_CT8_B_1	CT8	Mat	CT	CT	TP8	Mat
DH_CT8_B_2	CT8	Mat	CT	CT	TP8	Mat
DH_CT8_B_3	CT8	Mat	CT	CT	TP8	Mat
DH_DT1_B_1	DT1	Mat	DT	DT	TP1	Mat
DH_DT1_B_2	DT1	Mat	DT	DT	TP1	Mat
DH_DT1_B_3	DT1	Mat	DT	DT	TP1	Mat
DH_DT2_B_1	DT2	Mat	DT	DT	TP2	Mat
DH_DT2_B_2	DT2	Mat	DT	DT	TP2	Mat
DH_DT2_B_3	DT2	Mat	DT	DT	TP2	Mat
DH_DT3_B_1	DT3	Mat	DT	DT	TP3	Mat
DH_DT3_B_2	DT3	Mat	DT	DT	TP3	Mat
DH_DT3_B_3	DT3	Mat	DT	DT	TP3	Mat
DH_DT4_B_1	DT4	Mat	DT	DT	TP4	Mat
DH_DT4_B_2	DT4	Mat	DT	DT	TP4	Mat
DH_DT4_B_3	DT4	Mat	DT	DT	TP4	Mat
DH_DT5_B_1	DT5	Mat	DT	DT	TP5	Mat
DH_DT5_B_2	DT5	Mat	DT	DT	TP5	Mat
DH_DT5_B_3	DT5	Mat	DT	DT	TP5	Mat
DH_DT6_B_1	DT6	Mat	DT	DT	TP6	Mat
DH_DT6_B_2	DT6	Mat	DT	DT	TP6	Mat
DH_DT6_B_3	DT6	Mat	DT	DT	TP6	Mat
DH_DT7_B_1	DT7	Mat	DT	DT	TP7	Mat
DH_DT7_B_2	DT7	Mat	DT	DT	TP7	Mat
DH_DT7_B_3	DT7	Mat	DT	DT	TP7	Mat
DH_DT8_B_1	DT8	Mat	DT	DT	TP8	Mat
DH_DT8_B_2	DT8	Mat	DT	DT	TP8	Mat
DH_DT8_B_3	DT8	Mat	DT	DT	TP8	Mat
DH_CT1_1	CT1	Moss	CT	CT	TP1	Moss
DH_CT1_2	CT1	Moss	CT	CT	TP1	Moss
DH_CT1_3	CT1	Moss	CT	CT	TP1	Moss
DH_CT2_1	CT2	Moss	CT	CT	TP2	Moss
DH_CT2_2	CT2	Moss	CT	CT	TP2	Moss
DH_CT2_3	CT2	Moss	CT	CT	TP2	Moss
DH_CT3_1	CT3	Moss	CT	CT	TP3	Moss
DH_CT3_2	CT3	Moss	CT	CT	TP3	Moss
DH_CT3_3	CT3	Moss	CT	CT	TP3	Moss
DH_CT4_1	CT4	Moss	CT	CT	TP4	Moss
DH_CT4_2	CT4	Moss	CT	CT	TP4	Moss
DH_CT4_3	CT4	Moss	CT	CT	TP4	Moss
DH_CT5_1	CT5	Moss	CT	CT	TP5	Moss
DH_CT5_2	CT5	Moss	CT	CT	TP5	Moss
